"","block_name","deltaEV","chose_hi_var","delta_count"
"1","observe",-110,1,6
"2","observe",-90,3,4
"3","observe",-80,2,7
"4","observe",-70,5,8
"5","observe",-60,2,6
"6","observe",-50,2,5
"7","observe",-40,3,5
"8","observe",-30,2,6
"9","observe",-20,2,8
"10","observe",-10,7,7
"11","observe",0,4,7
"12","observe",10,3,8
"13","observe",20,4,4
"14","observe",30,3,5
"15","observe",40,3,4
"16","observe",50,4,5
"17","observe",60,5,9
"18","observe",70,5,6
"19","observe",80,4,6
"20","observe",90,4,5
"21","observe",110,5,7
"22","observe",120,0,1
"23","observe",130,0,1
"24","guess",-110,2,3
"25","guess",-90,5,9
"26","guess",-80,3,7
"27","guess",-70,1,6
"28","guess",-60,3,7
"29","guess",-50,5,8
"30","guess",-40,4,4
"31","guess",-30,2,5
"32","guess",-20,7,8
"33","guess",-10,2,5
"34","guess",0,4,6
"35","guess",10,7,7
"36","guess",20,1,4
"37","guess",30,4,6
"38","guess",40,6,7
"39","guess",50,5,6
"40","guess",60,4,4
"41","guess",70,2,2
"42","guess",80,5,7
"43","guess",90,5,6
"44","guess",110,8,10
"45","guess",130,1,1
"46","intervene",-110,1,7
"47","intervene",-90,0,3
"48","intervene",-80,0,5
"49","intervene",-70,1,8
"50","intervene",-60,3,6
"51","intervene",-50,0,4
"52","intervene",-40,7,7
"53","intervene",-30,7,7
"54","intervene",-20,6,6
"55","intervene",-10,7,7
"56","intervene",0,4,4
"57","intervene",10,6,6
"58","intervene",20,8,8
"59","intervene",30,7,7
"60","intervene",40,6,6
"61","intervene",50,5,5
"62","intervene",60,7,8
"63","intervene",70,8,8
"64","intervene",80,4,4
"65","intervene",90,7,7
"66","intervene",110,4,4
"67","intervene",160,1,1
"68","observe-repeat",-110,1,4
"69","observe-repeat",-90,3,5
"70","observe-repeat",-80,2,9
"71","observe-repeat",-70,6,9
"72","observe-repeat",-60,0,4
"73","observe-repeat",-50,2,3
"74","observe-repeat",-40,5,5
"75","observe-repeat",-30,6,9
"76","observe-repeat",-20,6,7
"77","observe-repeat",-10,6,6
"78","observe-repeat",0,4,5
"79","observe-repeat",10,6,7
"80","observe-repeat",20,5,6
"81","observe-repeat",30,4,6
"82","observe-repeat",40,3,6
"83","observe-repeat",50,5,5
"84","observe-repeat",60,4,6
"85","observe-repeat",70,6,6
"86","observe-repeat",80,2,6
"87","observe-repeat",90,3,7
"88","observe-repeat",110,5,5
"89","observe-repeat",130,1,1
"90","observe-repeat",180,1,1
